id,pub_id,assigned,assigned_to,asssigned_timestamp
2868,PMC3809880,1,henryrossiter,2018-02-13 22:31:35
2869,PMC4717364,1,henryrossiter,2018-02-13 22:33:26
2870,PMC3529402,1,jackchristen,2018-02-13 23:02:24
2871,PMC5406524,1,evelynkue,2018-02-14 00:06:26
2872,PMC4999392,1,henryrossiter,2018-02-14 10:11:44
2873,PMC4943555,1,henryrossiter,2018-02-14 10:24:29
2874,PMC4350160,1,henryrossiter,2018-02-14 10:26:45
2875,PMC5132031,1,henryrossiter,2018-02-14 10:30:26
2876,PMC4798811,1,vsanchana,2018-02-14 14:02:34
2877,PMC5382029,1,vsanchana,2018-02-14 14:09:34
2878,PMC5421174,1,jackchristen,2018-02-14 14:10:49
2879,PMC3212591,1,vsanchana,2018-02-14 14:24:26
2880,PMC4103437,1,evelynkue,2018-02-14 16:08:50
2881,PMC3467446,1,courtneybroderick,2018-02-14 17:03:06
2882,PMC4900401,1,courtneybroderick,2018-02-14 17:20:38
2883,PMC3518495,1,courtneybroderick,2018-02-14 17:26:06
2884,PMC3493641,1,courtneybroderick,2018-02-14 18:00:23
2885,PMC4754077,1,courtneybroderick,2018-02-14 18:17:24
2886,PMC3113214,1,meganpearson,2018-02-15 10:49:24
2887,PMC4001295,1,meganpearson,2018-02-15 11:03:35
2888,PMC4781772,1,jackchristen,2018-02-15 11:05:37
2889,PMC3044586,1,jackchristen,2018-02-15 11:13:50
2890,PMC4820195,1,courtneybroderick,2018-02-15 11:37:51
2891,PMC3547393,1,courtneybroderick,2018-02-15 11:48:51
2892,PMC3675294,1,courtneybroderick,2018-02-15 12:04:12
2893,PMC4047866,1,ankimnguyen,2018-02-15 13:52:57
2894,PMC4192829,1,mrcyndns,2018-02-15 17:34:17
2895,PMC3463497,1,mrcyndns,2018-02-15 19:03:16
2896,PMC3935074,1,henryrossiter,2018-02-15 20:34:45
2897,PMC4386214,1,henryrossiter,2018-02-15 20:45:38
2898,PMC4017255,1,henryrossiter,2018-02-15 21:06:23
2899,PMC4431321,1,evelynkue,2018-02-16 00:15:46
2900,PMC4272508,1,mjsong1201,2018-02-16 09:27:51
2901,PMC4225296,1,mjsong1201,2018-02-16 09:36:19
2902,PMC2962286,1,mjsong1201,2018-02-16 09:53:53
2903,PMC4004907,1,mjsong1201,2018-02-16 10:02:24
2904,PMC2606938,1,henryrossiter,2018-02-16 10:02:56
2905,PMC3177242,1,mjsong1201,2018-02-16 10:17:06
2906,PMC5284477,1,mjsong1201,2018-02-16 10:20:09
2907,PMC5135399,1,oceanwall,2018-02-16 10:28:50
2908,PMC4842422,1,tonyli0409,2018-02-16 10:30:13
2909,PMC4731483,1,mrcyndns,2018-02-16 10:33:03
2910,PMC3600908,1,henryrossiter,2018-02-16 10:34:18
2911,PMC4075826,1,jackchristen,2018-02-16 10:42:07
2912,PMC3790022,1,jackchristen,2018-02-16 10:44:59
2913,PMC3268153,1,realrichardparker,2018-02-16 10:51:01
2914,PMC3037501,1,oceanwall,2018-02-16 10:53:18
2915,PMC4078681,1,jackchristen,2018-02-16 10:57:23
2916,PMC4296915,1,mrcyndns,2018-02-16 11:07:43
2917,PMC4389438,1,oceanwall,2018-02-16 11:08:56
2918,PMC2682500,1,realrichardparker,2018-02-16 11:09:21
2919,PMC4816756,1,oceanwall,2018-02-16 11:16:05
2920,PMC5210339,1,jackchristen,2018-02-16 11:20:11
2921,PMC5215597,1,oceanwall,2018-02-16 11:38:54
2922,PMC4163887,1,oceanwall,2018-02-16 11:39:38
2923,PMC3349042,1,jackchristen,2018-02-16 11:40:09
2924,PMC3865143,1,oceanwall,2018-02-16 11:40:10
2925,PMC4907160,1,oceanwall,2018-02-16 11:40:42
2926,PMC4765498,1,oceanwall,2018-02-16 11:41:12
2927,PMC3409707,1,oceanwall,2018-02-16 11:45:45
2928,PMC4620299,1,oceanwall,2018-02-16 11:46:14
2929,PMC5215392,1,oceanwall,2018-02-16 11:46:40
2930,PMC5401820,1,jlcohoon,2018-02-16 11:58:31
2931,PMC3158666,1,ambermomin,2018-02-16 11:58:32
2932,PMC2869443,1,joelabraham1995,2018-02-16 11:58:37
2933,PMC4700408,1,monicacho92,2018-02-16 11:58:44
2934,PMC4153254,1,shruti2611,2018-02-16 11:59:09
2935,PMC2533095,1,alexthomas4,2018-02-16 12:01:21
2936,PMC1538888,1,jackchristen,2018-02-16 14:19:51
2937,PMC4929210,1,jackchristen,2018-02-16 15:08:25
2938,PMC4898854,1,jackchristen,2018-02-16 17:58:41
2939,PMC4874631,1,evelynkue,2018-02-16 21:40:37
2940,PMC5262502,1,carsonbrown19,2018-02-17 12:00:02
2941,PMC3457044,1,carsonbrown19,2018-02-17 12:10:33
2942,PMC2729960,1,carsonbrown19,2018-02-17 12:13:53
2943,PMC5436475,1,carsonbrown19,2018-02-17 12:22:45
2944,PMC2248739,1,carsonbrown19,2018-02-17 12:35:00
2945,PMC4853824,1,jackchristen,2018-02-17 17:29:01
2946,PMC4687766,1,jackchristen,2018-02-17 18:52:20
2947,PMC2722173,1,henryrossiter,2018-02-17 19:00:19
2948,PMC3390076,1,henryrossiter,2018-02-17 19:25:34
2949,PMC3276790,1,henryrossiter,2018-02-17 19:44:15
2950,PMC4534731,1,henryrossiter,2018-02-17 19:48:06
2951,PMC4927911,1,evelynkue,2018-02-17 21:45:34
2952,PMC5092332,1,meganpearson,2018-02-17 22:25:57
2953,PMC5425650,1,meganpearson,2018-02-17 22:28:21
2954,PMC5372123,1,meganpearson,2018-02-17 22:28:22
2955,PMC3258555,1,evelynkue,2018-02-17 22:30:32
2956,PMC4182969,1,evelynkue,2018-02-18 10:56:41
2957,PMC4605298,1,evelynkue,2018-02-18 11:31:00
2958,PMC5147363,1,jackchristen,2018-02-18 12:09:28
2959,PMC3718976,1,jackchristen,2018-02-18 12:12:36
2960,PMC3694184,1,carsonbrown19,2018-02-18 16:13:24
2961,PMC4710801,1,carsonbrown19,2018-02-18 16:26:17
2962,PMC3177208,1,carsonbrown19,2018-02-18 16:29:29
2963,PMC5016906,1,henryrossiter,2018-02-18 19:10:21
2964,PMC4876680,1,henryrossiter,2018-02-18 19:23:52
